id	t0	speed	height	segments	japanese	english
257	357.977	48.200	19	65-175;234-362	水野 順子 / 安部 なぎさ	Junko Mizuno / Nagisa Abe
258	358.573	47.921	19	67-201;234-317	上野 詠美子 / 土井 和	Emiko Ueno / Kazu Doi?
259	359.202	48.233	19	66-172;234-343	岡田 ゆり / 松島 英子	Yuri Okada / Eiko Matsushima
260	359.832	48.417	19	65-201;234-343	広瀬 いづみ / 菅原 美佳	Izumi Hirose / Mika Sugawara
261	360.431	48.300	19	65-201;234-343	津田 さやか / 藤田 裕子	Sayaka Tsuda / Yuko Fujita
262	361.064	48.483	19	65-200;233-361	佐々木 智美 / 當真 みさき	Tomomi Sasaki / Misaki Toma
263	361.653	48.194	19	65-200;234-343	佐久間 未希 / 戸部 弥生	Miki Sakuma / Yayoi Tobe
264	362.303	48.467	18	68-254	J.C.STUFF	KEEP
265	363.173	48.317	17	45-136	撮影監督	Director of Photography
266	363.746	48.283	19	66-149	古川 誠	Makoto Furukawa
267	364.673	48.212	15	46-151	2Dワークス	2D Works
268	365.232	48.283	18	66-201	中山 亜希子	Akiko Nakayama
269	366.159	48.133	13	46-121	3DCGI	KEEP
270	366.693	48.133	19	65-174;215-324	河口 俊夫 / 水谷 英二	Toshio Kawaguchi / Eiji Mizutani
271	367.583	47.879	17	46-135	特殊効果	Special Effects
272	368.181	48.100	19	65-174	村上 正博	Masahiro Murakami
273	369.091	48.167	16	46-218	ビジュアルエフェクト	Visual Effects
274	369.665	48.091	19	65-149	齋藤 瑛	Ei Saito?
275	370.553	47.782	17	45-88	編集	Editing
276	371.153	48.117	19	65-174	植松 淳一	Junichi Uematsu
277	372.068	48.167	17	45-134	制作担当	Production Manager
278	372.626	47.945	19	66-175	中武 哲也	Tetsuya Nakatake
279	373.555	48.167	17	46-212	アニメーション制作	Animation Production
280	374.181	48.100	16	66-270	Production I.G	KEEP
281	374.615	39.000	16	183-255	(Production I.G logo)	KEEP
282	374.692	47.667	8	189-192;228-253	(Production I.G logo)	KEEP
283	374.677	47.392	26	183-255	(Production I.G logo)	KEEP
284	375.322	47.069	9	183-230	(Production I.G logo)	KEEP
285	375.705	47.217	21	85-251	(Production I.G logo)	KEEP
286	379.876	47.900	17	37-167	ナムコスタッフ	NAMCO STAFF
287	380.752	47.873	16	45-165	プロモーション	Promotion
288	381.338	47.883	19	66-148;230-314	田中 快 / 竹田 健	Kai Tanaka / Ken Takeda
289	381.978	48.100	19	65-200;231-339	宇出津 和仁 / 高崎 由並	Kazuhito Ushitsu? / Yunami Takasaki?
290	382.917	48.133	15	46-119	セールス	Sales
291	383.459	48.033	19	65-174;234-343	佐伯 博史 / 露木 雄二	Hiroshi Saeki / Yuji Tsuyuki
292	384.370	48.117	17	45-212	パッケージデザイン	Package Design
293	384.958	48.133	19	65-200	松田 美奈子	Minako Matsuda
294	385.857	48.050	17	46-136	品質管理	Quality Control
295	386.440	48.150	19	65-174;234-343	佐藤 裕一 / 深谷 泰宏	Yuichi Sato / Yasuhiro Fukaya
296	387.055	48.133	19	65-175;234-344	丸藤 拓也 / 工藤 樹也	Takuya Marufuji / Mikiya Kudo?
297	387.668	48.097	19	65-174;234-343	鹿内 優子 / 篠原 康弘	Yuko Shikanai / Yasuhiro Shinohara
298	388.273	48.050	19	65-174;234-344	住友 一洋 / 高橋 智貴	Kazuhiro Sumitomo / Tomoki Takahashi
299	388.902	48.167	19	65-174;234-343	平林 由丞 / 松井 圭太	Yoshisuke Hirabayashi? / Keita Matsui
300	389.516	48.150	19	65-175;234-343	南原 成人 / 渡辺 尚人	Narihito Nanbara / Naoto Watanabe
301	390.419	48.150	16	46-165	バトルチェック	Battle Check
302	391.009	48.267	19	66-174	中林 康貴	Yasutaka Nakabayashi
303	391.928	48.350	16	46-208	スペシャルサンクス	Special Thanks
304	392.492	48.283	19	65-174;234-317	大西 邦憲 / 長井 潔	Kuninori Onishi / Kiyoshi Nagai
305	393.109	48.367	19	65-174;233-318	赤倉 一久 / 豊田 淳	Kazuhisa Akakura / Jun Toyoda
306	393.721	48.339	19	66-175;234-343	島本 昌弘 / 鈴木 貴晴	Masahiro Shimamoto / Takaharu Suzuki
307	394.327	48.317	19	65-174;235-343	服部 秀樹 / 山村 祐之	Hideki Hattori / Hiroyuki Yamamura?
308	394.949	48.333	19	66-148	吉村 広	Hiroshi Yoshimura
309	395.570	48.333	18	66-346	テストプレイヤーの皆さん	All the test players
310	396.459	48.300	16	46-147	ディレクター	Directors
311	397.041	48.400	19	66-200	貞弘 雄一郎	Yuichiro Sadahiro
312	397.622	48.030	19	65-174	樋口 義人	Yoshito Higuchi
313	401.102	48.117	16	45-203	チーフディレクター	Chief Director
314	401.679	48.085	19	66-200	岡本 進一郎	Shinichiro Okamoto
315	405.165	48.167	16	45-171	プロデューサー	Producer
316	405.732	48.050	19	66-148	吉積 信	Makoto Yoshizumi
317	408.766	47.933	17	46-296	エグゼクティブプロデューサー	Executive Producers
318	409.365	47.967	19	65-174	原口 洋一	Yoichi Haraguchi
319	409.970	47.867	19	65-200	髙木 九四郎	Kushiro Takagi
320	410.580	47.739	19	66-175	中村 雅哉	Masaya Nakamura
321	414.981	48.000	18	38-149	製作・著作	Produced by
322	415.577	47.818	19	47-223	株式会社ナムコ	NAMCO Ltd.
