# Monster Book / enemy names, artes and boss lines for the PSP battle-resource FPB members.
# jp<TAB>en<TAB>source. Located by pnvnd's env8 scanner (FPB 8378..9565, PAK->deflate->tod2-custom).
# sources: termbase=Lifebottle canonical; ps2=reused ToD2 PS2 enemy_translations; hand=transliteration.
ストームブリンガー	Stormbringer	ps2
ストームライダー	Stormrider	termbase
スナイパーストーム	Sniper Storm	ps2
スネークバイト	Snake Bite	ps2
スノウ	Snow	hand
スパークヴォルト	Spark Volt	ps2
スピリッツリバース	Spirits Reverse	ps2
スピリッツローブロー	Spirits Low Blow	ps2
スピリット	Spirit	hand
スフィアスパーク	Sphere Spark	ps2
スライム	Slime	termbase
セカンド・サン	Second Sun	ps2
センチュリオン	Centurion	hand
セージ	Sage	hand
タイラントメイス	Tyrant Mace	ps2
ダンタリオン	Dantalion	hand
ダークスフィア	Dark Sphere	ps2
チュンチュン	Chirpee	termbase
ティアマット	Tiamat	hand
ディアボロス	Diabolos	hand
ディバインドラゴン	Divine Dragon	hand
デカラビア	Decarabia	hand
デザートフライ	Desert Fly	termbase
デザートベリー	Desert Berry	hand
デスクラッチ	Death Clutch	ps2
デストロイヤー	Destroyer	hand
デッドジェネラル	Dead General	hand
デュラハン	Dullahan	hand
ドゥームトード	Doom Toad	termbase
ドラゴニュート	Dragonewt	termbase
ドラゴンキャノン	Dragon Cannon	ps2
ドレッドリーチ	Dread Leech	hand
ドーマウス	Dormouse	hand
ナイチンゲール	Nightingale	hand
ナイトメア	Nightmare	termbase
ナッハツェラー	Nachzehrer	hand
ニブルヘイム	Niflheim	ps2
ニャルラトホテプ	Nyarlathotep	hand
ネレウス	Nereus	hand
ノール	Gnoll	hand
ハイドロブレス	Hydro Breath	ps2
ハスター	Hastur	hand
ハルファス	Halphas	hand
バシュカー	Bashkar	hand
バジリスク	Basilisk	termbase
バジリスクキング	Basilisk King	termbase
バブルブラスト	Bubble Blast	ps2
バルバトス	Barbatos	hand
バンシー	Banshee	termbase
バンダースナッチ	Bandersnatch	hand
パイクマン	Pikeman	hand
パンタグリュエル	Pantagruel	hand
ビショップ	Bishop	termbase
ビッグフット	Bigfoot	termbase
ビヤーキー	Byakhee	hand
ビーストロアー	Beast Roar	ps2
ピコハン	Pikohan	ps2
ピヨピヨ	Peepit	termbase
ファイアエレメンタル	Fire Elemental	hand
フィールド・オブ・エフェクト	Field of Effect	ps2
フェイク	Fake	hand
フェニックス	Phoenix	termbase
フェンリル	Fenrir	hand
フォカロル	Focalor	hand
フォルネウス	Forneus	hand
フラッガー	Flagger	hand
フルフラット	Full Flat	ps2
フレスヴェルグ	Hraesvelg	hand
フローズヴィニトル	Hrodvitnir	hand
ブルートリップ	Blue Trip	hand
ブロッブ	Blob	hand
プリエステス	Priestess	hand
プリースト	Priest	hand
ヘラルド	Herald	hand
ヘルタスケルター	Helter Skelter	hand
ヘルマスター	Hellmaster	termbase
ベリアル	Belial	hand
ベルゼブル	Beelzebul	hand
ボガート	Boggart	termbase
ポイズンテイル	Poison Tail	hand
マグナディウエス	Magnadius	hand
マリガン	Mulligan	hand
マンティコア	Manticore	termbase
マンドレイク	Mandrake	termbase
ミルメコレオ	Myrmecoleon	hand
メイガス	Magus	hand
メギドフレイム	Megiddo Flame	ps2
メデューサ	Medusa	hand
メルトダウン	Meltdown	ps2
メルドウォーム	Meld Worm	hand
モンク	Monk	hand
ラクシャサ	Rakshasa	hand
ラミア	Lamia	hand
ランドタートル	Land Turtle	hand
リパーシックル	Reaper Sickle	hand
ルーンビートル	Rune Beetle	hand
レーザーアイ	Laser Eye	ps2
ロストソウル	Lost Soul	hand
ロック	Roc	hand
ロックバブーン	Rock Baboon	hand
ローグ	Rogue	hand
ローレライ	Lorelei	hand
ヴァルチャー	Vulture	termbase
ヴァンパイア	Vampire	hand
ヴァンパイアロード	Vampire Lord	hand
三の太刀	3rd Cut	ps2
二の太刀	2nd Cut	ps2
五輪斬	5 Ring	ps2
四の太刀	4th Cut	ps2
心眼・無の太刀	Mind's Eye Cut	ps2
心眼・無の太刀・連	Mind's Eye Chain	ps2
抜刀・裂衝牙	Rending Fang	ps2
斬空断	Aircut	ps2
止水	Calm	ps2
流水	Flow	ps2
瞬雷刃	Flash	ps2
私の背後に立つな・・・	Never stand behind me.	ps2
裂砕断	Crush	ps2
雷破斬	Bolt	ps2
－アイスバーン－	-Ice Burn-	ps2
－マインドウィルス－	-Mind Virus-	ps2
－マッドプール－	-Mud Pool-	ps2
