# japanese	english	jp_bytes	en_bytes	source=reuse
スペクタクルズ	Magic Lens	14	10	reuse
スペクター	Specter	10	7	reuse
スペクトラル	Spectral	12	8	reuse
スペランツァ	Speranza	12	8	reuse
スペル	Spell	6	5	reuse
スマイルウェイトレス	Smiling Waitress	20	16	reuse
スライト	Sleight	8	7	reuse
スラストファング	Thrust Fang	16	11	reuse
スリヴァー	Sliver	10	6	reuse
スレイヤー	Slayer	10	6	reuse
スロットレベル	Slot Level	14	10	reuse
スロット効果が発動し、	Slot effect activated:	22	22	reuse
スロット引継ぎ	Carry Slots	14	11	reuse
スローター	Slaughter	10	9	reuse
スーツ	Suit	6	4	reuse
スーパーハッカー	Super Hacker	16	12	reuse
セイクリッド	Sacred	12	6	reuse
セイントリー	Saintly	12	7	reuse
セフィラ	Sephira	8	7	reuse
セプター	Scepter	8	7	reuse
セボリー	Savory	8	6	reuse
セミオート	Semi-Auto	10	9	reuse
セラフィック	Seraphic	12	8	reuse
セルキー	Cell Key	8	8	reuse
セルチップ	Cell Chip	10	9	reuse
セルリアン	Cerulean	10	8	reuse
セレスティアルスター	Celestial Star	20	14	reuse
セレスティアルマント	Celestial Cape	20	14	reuse
セレニティ	Serenity	10	8	reuse
セレネ	Selene	6	6	reuse
センコウショウ	Senkosho	14	8	reuse
センコウバッパ	Senkobappa	14	10	reuse
センヒョウセン	Senhyousen	14	10	reuse
センレツココウセン	Senretsukokousen	18	16	reuse
セージ	Sage	6	4	reuse
セーブ	Save	6	4	reuse
ゼピュロス	Zephyrus	10	8	reuse
ゼファー	Zephyr	8	6	reuse
ソイル	Soil	6	4	reuse
ソウダショウ	Soudashou	12	9	reuse
ソウハジン	Sohajin	10	7	reuse
ソウルクラッシュワンド	Soulcrush Wand	22	14	reuse
ソウルスティール	Soul Stealer	16	12	reuse
ソウレンゲキ	Sourengeki	12	10	reuse
ソルブライト	Sol Radiance	12	12	reuse
ソーイング	Thawing	10	7	reuse
ソーサラー	Sorceress	10	9	reuse
ソーサラースコープ	Sorcerer's Scope	18	16	reuse
ソーサラースコープ使用方法	Using the Sorcerer's Scope	26	26	reuse
ソーサラーリング	Sorcerer's Ring	16	15	reuse
ソーサラーリングで撃て	Shoot the Sorcerer's Ring	22	25	reuse
ソーサラーリング使用方法	Using the Sorcerer's Ring	24	25	reuse
ソーディアンがほしい	I Want a Swordian	20	17	reuse
ソーディアンチームに続け！	Follow the Swordian Team!	26	25	reuse
ソーディアンチーム全員集合	Swordian Team Assemble	26	22	reuse
ソード	Sword	6	5	reuse
ソードブレイカー	Swordbreaker	16	12	reuse
ソーンズ	Retort	8	6	reuse
ゾディアック	Zodiac	12	6	reuse
ゾーディアン・マズダー	Swordian Master	22	15	reuse
タイ	Red Snapper	4	11	reuse
タイアレス	Tireless	10	8	reuse
タイダルウェーブ	Tidal Wave	16	10	reuse
タイプ	Type	6	4	reuse
タイラント	Tyrant	10	6	reuse
タコ	Octopus	4	7	reuse
タスクフォース	Task Force	14	10	reuse
タッグチャンピオン	Tug Champion	18	12	reuse
タバール	Tabar	8	5	reuse
タマグシの篭手	Tamagushi's Gauntlets	14	21	reuse
タマゴ	Egg	6	3	reuse
タマネギ	Onion	8	5	reuse
タリスマン	Talisman	10	8	reuse
タルワール	Talwar	10	6	reuse
タンジリン	Tangerine	10	9	reuse
ターゲット変更	Change Target	14	13	reuse
ダイクロフト	Dycroft	12	7	reuse
ダイクロフト牢屋前	Dycroft Prison Gate	18	19	reuse
ダイコン	Radish	8	6	reuse
ダイヤモンド	Diamond	12	7	reuse
ダイヤモンドエッジ	Diamond Edge	18	12	reuse
ダイヤモンドブレスレット	Diamond Bracelet	24	16	reuse
ダスク	Dusk	6	4	reuse
ダッシュ	Dash	8	4	reuse
ダブルブレード	Double Edge	14	11	reuse
ダマスカス	Damascus	10	8	reuse
ダメージ	Damage	8	6	reuse
ダメージ硬直時間の減少	Reduces Stun time	22	17	reuse
ダメージ量でＴＰ回復	Recover TP relative to damage taken	20	35	reuse
ダリルシェイドへ	To Darilsheid	16	13	reuse
ダリルシェイド地下	Darilsheid Underground	18	22	reuse
ダンシング	Dancing	10	7	reuse
ダークネス	Dark	10	4	reuse
ダークボトル	Dark Bottle	12	11	reuse
ダークロアー	Dark Lore	12	9	reuse
チアリング	Cheering	10	8	reuse
チェイン	Chain	8	5	reuse
チェインハンター	Chain Hunter	16	12	reuse
チェインブーツ	Chain Boots	14	11	reuse
チェインマスター	Chain Master	16	12	reuse
チェインメイル	Chain Mail	14	10	reuse
チェインレベル	Chain Level	14	11	reuse
チェリク	Cherik	8	6	reuse
チェリク行き定期便	Ferry to Cherik	18	15	reuse
チェルシーの小屋	Chelsea's Hut	16	13	reuse
チタンのフライパン	Titanium Frying Pan	18	19	reuse
チビッコにボコボコ	Beaten by Kids	18	14	reuse
チャイナドレス	Chinese Dress	14	13	reuse
チャクマク	Chakmak	10	7	reuse
チャコール	Charcoal	10	8	reuse
チャラックの種	Charak Seed	14	11	reuse
チャンス	Chance	8	6	reuse
チャンピオン	Champion	12	8	reuse
チャームボトル	Charm Bottle	14	12	reuse
チュニック	Tunic	10	5	reuse
チリハジン	Chirihajin	10	10	reuse
チンクエディア	Cinquedea	14	9	reuse
チーズ	Cheese	6	6	reuse
チーズケーキ	Cheesecake	12	10	reuse
チーフテン	Chieftain	10	9	reuse
ツイヨウセン	Tsuiyousen	12	10	reuse
ツルハシ	Pick	8	4	reuse
ティアラ	Tiara	8	5	reuse
ティタニア	Titania	10	7	reuse
ティンバー	Timber	10	6	reuse
テクニカルリング	Technical Ring	16	14	reuse
テクノロジー	Technology	12	10	reuse
テトラスラッシュ	Tetra Slash	16	11	reuse
テンショウダン	Tenshodan	14	9	reuse
テンペスト	Tempest	10	7	reuse
ディアティ	Deity	10	5	reuse
ディアボリックファング	Diabolic Fang	22	13	reuse
ディザスター	Disaster	12	8	reuse
ディジーズ	Diseased	10	8	reuse
ディバインセイバー	Divine Saber	18	12	reuse
ディフェンス	Defense	12	7	reuse
ディヴァインクレスト	Divine Crest	20	12	reuse
ディヴァインロッド	Divine Rod	18	10	reuse
ディヴォート	Devoted	12	7	reuse
ディープミスト	Deep Mist	14	9	reuse
デクスタラス	Dexterous	12	9	reuse
デスストローク	Death Stroke	14	12	reuse
デストロイ	Destroy	10	7	reuse
デストロイヤー	Destroyer	14	9	reuse
デスペラード	Desperado	12	9	reuse
デッキブラシ	Deck Brush	12	10	reuse
デッドリー	Deadly	10	6	reuse
デバッグ　テスト	Debug Test	16	10	reuse
デビル	Devil	6	5	reuse
デフォルト	Default	10	7	reuse
デフレクト	Deflect	10	7	reuse
デモリション	Demolition	12	10	reuse
デモンズシール	Demon's Seal	14	12	reuse
デュエリスト	Duelist	12	7	reuse
デュナミス	Dunamis	10	7	reuse
デュランダル	Durandal	12	8	reuse
デルタレイ	Delta Ray	10	9	reuse
データをロードする	Load data	18	9	reuse
デートはハイデルベルグ	A Date in Heidelberg	22	20	reuse
デーモン	Demon	8	5	reuse
トゥインクル	Twinkling	12	9	reuse
トゥインクル・スター	Twinkling Star	20	14	reuse
トパーズ	Topaz	8	5	reuse
トマト	Tomato	6	6	reuse
トマホーク	Tomahawk	10	8	reuse
トライデント	Trident	12	7	reuse
トラッシュマウンテン	Trash Mountain	20	14	reuse
トラッシュマウンテンを抜けて	Through Trash Mountain	28	22	reuse
トラップ	Trap	8	4	reuse
トランキル	Tranquil	10	8	reuse
トランプル	Trample	10	7	reuse
トリックスター	Trickster	14	9	reuse
トリトン	Triton	8	6	reuse
トリニティスパーク	Trinity Spark	18	13	reuse
トリュウレンゲキハ	Toryurengekiha	18	14	reuse
トレカ	Trading Card	6	12	reuse
トレジャー	Treasure	10	8	reuse
トロール	Troll	8	5	reuse
トワリングスティック	Twirling Baton	20	14	reuse
トンカチ	Hammer	8	6	reuse
トンズラ一家物語	Runaway Family Tale	16	19	reuse
トーピード	Torpedo	10	7	reuse
ドゥーム	Doom	8	4	reuse
ドミニオン	Dominion	10	8	reuse
ドミネイトカスク	Dominate Casque	16	15	reuse
ドミネイトティアラ	Dominate Tiara	18	14	reuse
ドミネイトワンド	Dominate Wand	16	13	reuse
ドライアド	Dryad	10	5	reuse
ドライビンアクス	Driving Axe	16	11	reuse
ドライビング	Driving	12	7	reuse
ドラグーン	Dragoon	10	7	reuse
ドラゴン	Dragon	8	6	reuse
ドラゴンに対して有効	Strong against dragons	20	22	reuse
ドラゴントゥース	Dragon's Tooth	16	14	reuse
ドリーム	Dream	8	5	reuse
ドリームフランジ	Dream Flange	16	12	reuse
ドルゲニアの種	Dolgenia Seed	14	13	reuse
ドレイク	Drake	8	5	reuse
ドレインチェック	Slow Charm	16	10	reuse
ドレス	Dress	6	5	reuse
ドレッド	Dread	8	5	reuse
ナイスウェイター	Nice Waiter	16	11	reuse
ナイツ	Knight	6	6	reuse
ナイトメア	Nightmare	10	9	reuse
ナイトメアブーツ	Succubus Boots	16	14	reuse
ナナリー	Nanaly	8	6	reuse
ナポリタン	Spaghetti	10	9	reuse
ナリッジ	Knowledge	8	9	reuse
ナールドスタッフ	Gnarled Staff	16	13	reuse
ニットウェア	Knitwear	12	8	reuse
ニンジン	Carrot	8	6	reuse
ニンブル	Nimble	8	6	reuse
ネガティブゲイト	Negative Gate	16	13	reuse
ネビュラ	Nebula	8	6	reuse
ノイシュタット	Neuestadt	14	9	reuse
ノイシュタットの港へ	To Neuestadt Port	20	17	reuse
ノキサス	Noxious	8	7	reuse
ノコギリ	Saw	8	3	reuse
ノトス	Notos	6	5	reuse
ノーブルサレット	Noble Sallet	16	12	reuse
ノーブルヴェール	Noble Veil	16	10	reuse
ノーム	Gnome	6	5	reuse
ハイデルベルグ	Heidelberg	14	10	reuse
ハイデルベルグ賛美	Praising Heidelberg	18	19	reuse
ハイパー	Hyper	8	5	reuse
ハイパーガントレット	Hyper Gauntlets	20	15	reuse
ハイリワード	Premium	12	7	reuse
ハウリング	Howling	10	7	reuse
ハウンド	Hound	8	5	reuse
ハッピー	Happy	8	5	reuse
ハヌマンシャフト	Hanuman Shaft	16	13	reuse
ハミリティ	Humility	10	8	reuse
ハムスター	Hamster	10	7	reuse
ハムスター名入力	Hamster name entry	16	18	reuse
ハリケーン	Hurricane	10	9	reuse
ハルバード	Halberd	10	7	reuse
ハルマゲドン	Armageddon	12	10	reuse
ハロルド	Harold	8	6	reuse
ハングアップ	Hang Up	12	7	reuse
ハンターズマント	Hunter's Cape	16	13	reuse
ハンターボウ	Hunter Bow	12	10	reuse
ハンドトゥハンド	Hand-to-Hand	16	12	reuse
ハンバーガー	Hamburger	12	9	reuse
ハンマー	Hammer	8	6	reuse
ハートトゥハート	Heart-to-Heart	16	14	reuse
ハーピー	Harpy	8	5	reuse
ハーベスト	Harvest	10	7	reuse
ハーミット	Hermit	10	6	reuse
ハーメンツヴァレー	Harmentz Valley	18	15	reuse
ハーモニー	Harmony	10	7	reuse
ハーレクイン	Harlequin	12	9	reuse
バイオキー	Bio Key	10	7	reuse
バイオチップ	Bio Chip	12	8	reuse
バイタリティ	Vitality	12	8	reuse
バウンティ	Bounty	10	6	reuse
バクエンケン	Bakuenken	12	9	reuse
バサルト	Basalt	8	6	reuse
バシネット	Basinet	10	7	reuse
バシリスク	Basilisk	10	8	reuse
バジネット	Basinet	10	7	reuse
バジリスクの鱗	Basilisk Scale	14	14	reuse
バゼラード	Baselard	10	8	reuse
バター	Butter	6	6	reuse
バッカイショウ	Bakkaisho	14	9	reuse
バッシャー	Basher	10	6	reuse
バッシング	Bashing	10	7	reuse
バテてないで	Don't Wear Out	12	14	reuse
バトルアクス	Battle Axe	12	10	reuse
バトルスーツ	Battle Suit	12	11	reuse
バトルブーツ	Battle Boots	12	12	reuse
バトルボウ	Battle Bow	10	10	reuse
バナナ	Banana	6	6	reuse
バハムート	Bahamut	10	7	reuse
バハムートティア	Bahamut's Tear	16	14	reuse
バランス	Balanced	8	8	reuse
バルバトスの引き際	Barbatos Withdraws	18	18	reuse
バルバトスの挑戦状	Barbatos's Challenge	18	20	reuse
バルビュータ	Barbuta	12	7	reuse
バルムンク	Balmung	10	7	reuse
バーミリオン	Vermilion	12	9	reuse
バーンストライク	Burn Strike	16	11	reuse
パイルドライバー	Piledriver	16	10	reuse
パイレックス	Pyrex	12	5	reuse
パイングミ	Pineapple Gel	10	13	reuse
パエリア	Paella	8	6	reuse
パスタ	Pasta	6	5	reuse
パスタイム	Pastime	10	7	reuse
パトリオット	Patriot	12	7	reuse
パナシーアボトル	Panacea Bottle	16	14	reuse
パペット	Puppet	8	6	reuse
パラダイス	Paradise	10	8	reuse
パラダイム	Paradigm	10	8	reuse
パラディン	Paladin	10	7	reuse
パラライズ	Paralysis	10	9	reuse
パラライズチェック	Paralysis Charm	18	15	reuse
パラレルワールド	Parallel World	16	14	reuse
パリーイングダガー	Parrying Dagger	18	15	reuse
パレオ	Pareo	6	5	reuse
パワー	Power	6	5	reuse
パン	Pan	4	3	reuse
パーティのはじまりだぜ！	Let the Party Begin!	24	20	reuse
パーティ表示	Party Display	12	13	reuse
パーフェクト	Perfect	12	7	reuse
ヒット時の敵の硬直時間を長くする	Increases the stun time incurred when anenemy is hit.	32	53	reuse
ヒレンザン	Hirenzan	10	8	reuse
ヒーティング	Heating	12	7	reuse
ヒートリバー	Heat River	12	10	reuse
ヒートリバーを越えて	Across the Heat River	20	21	reuse
ヒーリング	Healing	10	7	reuse
ヒール	Heal	6	4	reuse
ヒールバングル	Heal Bangle	14	11	reuse
ビッグシェフ	Big Chef	12	8	reuse
ビッグバン	Big Bang	10	8	reuse
ビッグ富豪	Mega Millionaire	10	16	reuse
ビヒーモス	Behemoth	10	8	reuse
ビースト	Beast	8	5	reuse
ピクシー	Pixie	8	5	reuse
ピュアブライト	Illumina	14	8	reuse
ピヨハン	Stun Bracelet	8	13	reuse
ピレッジ	Pillage	8	7	reuse
ファイア	Fire	8	4	reuse
ファイナル	Final	10	5	reuse
ファイナー	Finer	10	5	reuse
ファイン	Fine	8	4	reuse
ファティーグ	Fatigue	12	7	reuse
ファニー	Funny	8	5	reuse
ファフニール	Fafnir	12	6	reuse
ファブリックグローブ	Fabric Gloves	20	13	reuse
ファミリア	Familiar	10	8	reuse
ファルクス	Falx	10	4	reuse
ファルシオン	Falchion	12	8	reuse
ファンシードレス	Fancy Dress	16	11	reuse
ファンタジー	Fantasy	12	7	reuse
ファントム	Phantom	10	7	reuse
ファーヴァー	Fervor	12	6	reuse
フィアフルストーム	Fearful Storm	18	13	reuse
フィート	Feat	8	4	reuse
フィートシンボル	Warrior Symbol	16	14	reuse
フィールド	Field	10	5	reuse
フィールドプレート	Field Plate	18	11	reuse
フィールド・アクアヴェイル地方	Field - Aquaveil Region	30	23	reuse
フィールド・カルバレイス北部	Field - Calvalese North	28	23	reuse
フィールド・カルバレイス南部	Field - Calvalese South	28	23	reuse
フィールド・カルバレイス地方	Field - Calvalese Region	28	24	reuse
フィールド・スパイラルケイブ周辺	Field - Spiral Cave Area	32	24	reuse
フィールド・スペランツァ周辺	Field - Speranza Area	28	21	reuse
フィールド・デビルズリーフ	Field - Devil's Reef	26	20	reuse
フィールド・ファンダリア南東諸島	Field - Phandaria SE Isles	32	26	reuse
フィールド・ファンダリア地方	Field - Phandaria Region	28	24	reuse
フィールド・フィッツガルド地方	Field - Fitzgald Region	30	23	reuse
フィールド・レアルタ周辺	Field - Realta Area	24	19	reuse
フィールド・ヴァンジェロ周辺	Field - Vangelo Area	28	20	reuse
フィールド・地上軍拠点北部	Field - Er'ther Base North	26	26	reuse
フィールド・地上軍拠点周辺	Field - Er'ther Base Area	26	25	reuse
フィールド・海上	Field - At Sea	16	14	reuse
フィーンド	Fiend	10	5	reuse
フウジンショウ	Fujinshou	14	9	reuse
フェアリィ	Faerie	10	6	reuse
フェアリィリング	Faerie Ring	16	11	reuse
フェイス	Face	8	4	reuse
フェイムフェイス	Fame and Faith	16	14	reuse
フェザー	Feather	8	7	reuse
フェニックス	Phoenix	12	7	reuse
フォッケウルフ	Focke-Wulf	14	10	reuse
フォトン	Photon	8	6	reuse
フォトンブレイズ	Photon Blaze	16	12	reuse
フォレスト	Forest	10	6	reuse
フォージ	Forge	8	5	reuse
フォース	Force	8	5	reuse
フォースリング	Force Ring	14	10	reuse
フォーチュン	Fortune	12	7	reuse
フォーチュンブレスレット	Fortune Bracelet	24	16	reuse
フォートレス	Fortress	12	8	reuse
フラックス	Flux	10	4	reuse
フラムベルク	Flamberge	12	9	reuse
フランブレイブ	Flambrave	14	9	reuse
フリーズ	Freeze	8	6	reuse
フリーズチェック	Freeze Charm	16	12	reuse
フリーズハンター	Freeze Hunter	16	13	reuse
フルプレート	Full Plate	12	10	reuse
フルーツサンド	Fruit Sandwich	14	14	reuse
フルーツジュース	Fruit Juice	16	11	reuse
フルーツポンチ	Fruit Cocktail	14	14	reuse
フレア	Flare	6	5	reuse
フレアスカート	Flare Skirt	14	11	reuse
フレアボトル	Flare Bottle	12	12	reuse
フレアマント	Flare Cape	12	10	reuse
フレイムドライブ	Flame Drive	16	11	reuse
フレグランス	Fragrance	12	9	reuse
フレッチ	Fletch	8	6	reuse
フレンジーカスク	Frenzy Casque	16	13	reuse
フレンジーロッド	Frenzy Rod	16	10	reuse
フロード	Fraud	8	5	reuse
フンジンレッパショウ	Funjinreppashou	20	15	reuse
ブラウン	Brown	8	5	reuse
ブラスター	Blaster	10	7	reuse
ブラックオニキス	Black Onyx	16	10	reuse
ブラックコーラル	Black Coral	16	11	reuse
ブラックダイア	Black Diamond	14	13	reuse
ブラックパール	Black Pearl	14	11	reuse
ブラックホール	Black Hole	14	10	reuse
ブラッディ	Bloody	10	6	reuse
ブラッディクロス	Bloody Cross	16	12	reuse
ブリガンディ	Brigandine	12	10	reuse
ブリッジヘッド	Bridgehead	14	10	reuse
ブリット	Bullet	8	6	reuse
ブリリアント	Brilliant	12	9	reuse
ブルークリスタルロッド	Blue Crystal Rod	22	16	reuse
ブルーム	Broom	8	5	reuse
ブレイク	Break	8	5	reuse
ブレスト	Breast	8	6	reuse
ブレストプレート	Breastplate	16	11	reuse
ブレスドアーメット	Blessed Armet	18	13	reuse
ブレスドリボン	Blessed Ribbon	14	14	reuse
ブレッド	Bread	8	5	reuse
ブレード	Blade	8	5	reuse
ブロッキング	Blocking	12	8	reuse
ブロードソード	Broad Sword	14	11	reuse
ブローバー	Bullova	10	7	reuse
ブーツ	Boots	6	5	reuse
プライズ	Prized	8	6	reuse
プライム	Prime	8	5	reuse
プラギュー	Plague	10	6	reuse
プラティナム	Platinum	12	8	reuse
プラネット	Planet	10	6	reuse
プリシジョン	Precision	12	9	reuse
プリズム	Prism	8	5	reuse
プリズムフラッシャ	Prismatic Flasher	18	17	reuse
プリティ	Pretty	8	6	reuse
プリティミトン	Pretty Mittens	14	14	reuse
プリティーウェイトレス	Pretty Waitress	22	15	reuse
プリンセスケープ	Princess Cape	16	13	reuse
プリンセス・オブ・マーメイド	Princess of Mermaids	28	20	reuse
プリースト	Priestess	10	9	reuse
プレイタイム	Play Time	12	9	reuse
プレイ時間を引き継いでゲーム開始できます	Carry over your play time.	40	26	reuse
プレイ時間引継ぎ	Carry Play Time	16	15	reuse
プレジャー	Bliss	10	5	reuse
プレステージ	Prestige	12	8	reuse
プレデター	Predator	10	8	reuse
プレントリー	Plentiful	12	9	reuse
プレート	Plate	8	5	reuse
プレートブーツ	Plate Boots	14	11	reuse
プレートメイル	Plate Mail	14	10	reuse
プロテクト	Protect	10	7	reuse
プロテクトリング	Protect Ring	16	12	reuse
ヘイスト	Haste	8	5	reuse
ヘルファイア	Hellfire	12	8	reuse
ヘルム	Helm	6	4	reuse
ヘヴィブーツ	Heavy Boots	12	11	reuse
ヘヴンズ	Heaven	8	6	reuse
ヘヴンリーガーブ	Heavenly Garb	16	13	reuse
ベイシス	Basis	8	5	reuse
ベスティアル	Bestial	12	7	reuse
ベストウェイター	Best Waiter	16	11	reuse
ベテラン	Veteran	8	7	reuse
ベルセリウム	Berselium	12	9	reuse
ベルセリオス	Berselius	12	9	reuse
ベルセルク	Berserker	10	9	reuse
ベルベット	Velvet	10	6	reuse
ベルベーヌ	Verbena	10	7	reuse
ベレット	Beret	8	5	reuse
ペインフル	Painful	10	7	reuse
ペガサス	Pegasus	8	7	reuse
ペスカトーレ	Pescatore	12	9	reuse
ペルシアブーツ	Persian Boots	14	13	reuse
ペルシャ	Persia	8	6	reuse
ペンペンの種	Phen Seed	12	9	reuse
ホイル焼き	Foil Grill	10	10	reuse
ホウツイショウ	Hotsuisho	14	9	reuse
ホウリュウザンコウケン	Horyu Zankoken	22	14	reuse
ホロスコープ	Horoscope	12	9	reuse
ホワイトグローブ	Bridal Gloves	16	13	reuse
ホーバーク	Hauberk	10	7	reuse
ホープタウン	Hope Town	12	9	reuse
ホープタウンで再会	Reunion in Hope Town	18	20	reuse
ホープタウンで待つ人	Waiting in Hope Town	20	20	reuse
ホーリィ	Holy	8	4	reuse
ホーリィシンボル	Holy Symbol	16	11	reuse
ホーリィボトル	Holy Bottle	14	11	reuse
ホーロー鍋	Enamel Pot	10	10	reuse
ボウイナイフ	Bowie Knife	12	11	reuse
ボディスーツ	Body Suit	12	9	reuse
ボルシチ	Borscht	8	7	reuse
ボレアス	Boreas	8	6	reuse
ボーン	Bone	6	4	reuse
ポイズン	Poison	8	6	reuse
ポイズンチェック	Poison Charm	16	12	reuse
ポセイドン	Poseidon	10	8	reuse
ポムポムの種	Pom Seed	12	8	reuse
ポールアクス	Pole Axe	12	8	reuse
マイティ	Mighty	8	6	reuse
マインド	Mind	8	4	reuse
マインドクライ	Mindcry	14	7	reuse
マクシミリアン	Maximilian	14	10	reuse
マグロ	Tuna	6	4	reuse
マグログミ	Tuna Gel	10	8	reuse
マジェスティ	Majesty	12	7	reuse
マジカル	Magical	8	7	reuse
マジカルポット	Magical Pot	14	11	reuse
マジカルルージュ	Magical Rouge	16	13	reuse
マジシャン	Magician	10	8	reuse
マジック	Magic	8	5	reuse
マジックレベル	Magic Level	14	11	reuse
マジンメッサツエン	Majinmessatsuen	18	15	reuse
マスター	Bartender	8	9	reuse
マスターキー	Master Key	12	10	reuse
マスターキー入手	Master Key Obtained	16	19	reuse
マスターキー入手後	After the Master Key	18	20	reuse
マスターピース	Masterpiece	14	11	reuse
マッハねーちゃん	Mach Sister	16	11	reuse
マッハガール	Mach Girl	12	9	reuse
マッハ仮面	Masked Mach	10	11	reuse
マッハ兄貴	Mach Brother	10	12	reuse
マッハ青年	Mach Boy	10	8	reuse
マップ	Map	6	3	reuse
マニュアル	Manual	10	6	reuse
マヌーヴァー	Maneuver	12	8	reuse
マム・ベイン	Mumbane	12	7	reuse
マラカイトクラウン	Malachite Crown	18	15	reuse
マラカイトサレット	Malachite Sallet	18	16	reuse
マラカイトメイス	Malachite Mace	16	14	reuse
マリーの噂	Rumors of Marie	10	15	reuse
マンゴーシュ	Main Gauche	12	11	reuse
マント	Cape	6	4	reuse
マーシナリー	Mercenary	12	9	reuse
マーシャル	Marshal	10	7	reuse
マーシレス	Merciless	10	9	reuse
マーシー	Mercy	8	5	reuse
マーチャント	Merchant	12	8	reuse
マーテル	Martel	8	6	reuse
マーブル	Marble	8	6	reuse
マーボーカレー	Mabo Curry	14	10	reuse
マーボーカレー大好き君	Mr. Mabo Curry Lover	22	20	reuse
ミカグラの足袋	Mikagura's Socks	14	16	reuse
ミザリー	Misery	8	6	reuse
ミスタークイズ	Mr. Quiz	14	8	reuse
ミスティ	Mystic	8	6	reuse
ミスティシンボル	Mystic Symbol	16	13	reuse
ミスリル	Mythril	8	7	reuse
ミスリルグローブ	Mythril Gloves	16	14	reuse
ミスリルブレスレット	Mythril Bracelet	20	16	reuse
ミセリコルデ	Mercygiver	12	10	reuse
ミソ	Miso	4	4	reuse
ミックスグミ	Melange Gel	12	11	reuse
ミックス・マスター	Mix Master	18	10	reuse
ミディブラウス	Middy Blouse	14	12	reuse
ミネストローネ	Minestrone	14	10	reuse
ミノタウロス	Minotaurus	12	10	reuse
ミョルニル	Mjollnir	10	8	reuse
ミラクル	Miracle	8	7	reuse
ミラクルグミ	Miracle Gel	12	11	reuse
ミラクルチャーム	Miracle Charm	16	13	reuse
ミラージュ	Mirage	10	6	reuse
ミラージュマント	Mirage Cape	16	11	reuse
ミルク	Milk	6	4	reuse
ミートローフ	Meatloaf	12	8	reuse
ムヒョウショウ	Muhyosho	14	8	reuse
ムーン	Moon	6	4	reuse
ムーンセレクター	Moon Selector	16	13	reuse
メイガス	Magus	8	5	reuse
メイジ	Mage/Magician/Wizard	6	20	reuse
メイジフィンガー	Mage's Finger	16	13	reuse
メイス	Mace	6	4	reuse
メイスン	Mason	8	5	reuse
メイデンヘアー	Maiden Hairpin	14	14	reuse
メイル	Mail	6	4	reuse
メイルブレイカー	Armor Breaker	16	13	reuse
メギンギョルズ	Megingjord	14	10	reuse
メジャー	Major	8	5	reuse
メッサーシュミット	Messerschmitt	18	13	reuse
メッシュ	Mesh	8	4	reuse
メッシュアーマー	Mesh Armor	16	10	reuse
メッシュブーツ	Mesh Boots	14	10	reuse
メッセージスピード	Message Speed	18	13	reuse
メテオリック	Meteoric	12	8	reuse
メディカル	Medical	10	7	reuse
メディテイト	Meditate	12	8	reuse
メデューサ	Medusa	10	6	reuse
メニュー	Menu	8	4	reuse
メニュー背景	Menu BG	12	7	reuse
メルクマール	Merkmal	12	7	reuse
メルティング	Melting	12	7	reuse
メレーバシネット	Melee Basinet	16	13	reuse
メンタル	Mental	8	6	reuse
メンタルバングル	Mental Bangle	16	13	reuse
メンタルリング	Spirit Ring	14	11	reuse
モスキート	Mosquito	10	8	reuse
モテモテウェイター	Sexy Waiter	18	11	reuse
モラール	Morale	8	6	reuse
モンスターマスター	Monster Hunter	18	14	reuse
モンスター図鑑	Monster Book	14	12	reuse
ヤサカニノマガタマ	Yasakani Jewel	18	14	reuse
ヤタノカガミ	Yata Mirror	12	11	reuse
ユニコーンホーン	Unicorn Horn	16	12	reuse
ユニヴァース	Universe	12	8	reuse
ユースフル	Youthful	10	8	reuse
ユーモラスフェイス	Funny Face	18	10	reuse
ヨーグルト	Yogurt	10	6	reuse
ライガショウ	Raigashou	12	9	reuse
ライジンショウ	Raijinshou	14	10	reuse
ライス	Rice	6	4	reuse
ライト	Light	6	5	reuse
ライフボトル	Life Bottle	12	11	reuse
ライフル	Rifle	8	5	reuse
ラグナ遺跡	Laguna	10	6	reuse
ラグナ遺跡　橋	Laguna Ruins Bridge	14	19	reuse
ラグナ遺跡ってどこ？	Where's Laguna Ruins?	20	21	reuse
ラグナ遺跡に	To Laguna Ruins	12	15	reuse
ラグナ遺跡最上部	Laguna Ruins Summit	16	19	reuse
ラストクルセイダー	Last Crusader	18	13	reuse
ラストフェンサー	Last Fencer	16	11	reuse
ラスト・ヴァニッシャー	Last Vanisher	22	13	reuse
ラック	Luck	6	4	reuse
ラディスロウへ行くわよ	We're Off to Radisrol	22	21	reuse
ラナウェイ	Runaway	10	7	reuse
ラナケアルの種	Lanakear Seed	14	13	reuse
ラビット	Rabbit	8	6	reuse
ラビットシンボル	Rabbit's Foot	16	13	reuse
ラピスラズリ	Lapis Lazuli	12	12	reuse
ラピスラズリブレスレット	Lapis Lazuli Bracelet	24	21	reuse
ラピッドボウ	Rapid Bow	12	9	reuse
ラブリィ	Lovely	8	6	reuse
ラブリィミトン	Lovely Mittens	14	14	reuse
ラブリーウェイトレス	Lovely Waitress	20	15	reuse
ラプター	Raptor	8	6	reuse
ラベンダー	Lavender	10	8	reuse
ラメラー	Lamellar	8	8	reuse
ランダムで料理を行います	Dish will be ﾂ鎤ⅱed at random	24	30	reuse
ランパート	Rampart	10	7	reuse
