file,offset,bytes,japanese,english
08492.pak1,0x555,12,ニブルヘイム,Niflheim
08493.pak1,0x555,12,ニブルヘイム,Niflheim
08497.pak1,0x22F,18,-ラスティ・ネイル-,-Rusty Nail-
08498.pak1,0x22F,18,-ラスティ・ネイル-,-Rusty Nail-
08499.pak1,0x22F,18,-ラスティ・ネイル-,-Rusty Nail-
08521.pak1,0x33D,20,-アイス・レクイエム-,-Ice Requiem-
08522.pak1,0x33D,20,-アイス・レクイエム-,-Ice Requiem-
08523.pak1,0x33D,20,-アイス・レクイエム-,-Ice Requiem-
08524.pak1,0x33D,20,-アイス・レクイエム-,-Ice Requiem-
08525.pak1,0x23E,8,ピコハン,Pikohan
08526.pak1,0x23E,8,ピコハン,Pikohan
08527.pak1,0x23E,8,ピコハン,Pikohan
08528.pak1,0x23E,8,ピコハン,Pikohan
08534.pak1,0x3A9,22,-バーニング・サークル-,-Burning Circle-
08541.pak1,0x10F,18,カウンタ・マジック,Counter Magic
08542.pak1,0x10F,18,カウンタ・マジック,Counter Magic
08543.pak1,0x10F,18,カウンタ・マジック,Counter Magic
08563.pak1,0x170,10,-賢者の石-,-Sage Gem-
08564.pak1,0x170,10,-賢者の石-,-Sage Gem-
08565.pak1,0x170,10,-賢者の石-,-Sage Gem-
08571.pak1,0x55E,14,セカンド・サン,Second Sun
08572.pak1,0x55E,14,セカンド・サン,Second Sun
08573.pak1,0x55E,14,セカンド・サン,Second Sun
08587.pak1,0x2AD,14,-必中のフーガ-,-Sure Fugue-
08587.pak1,0x2D2,18,-不断のパストラル-,-Endless Pastoral-
08605.pak1,0x34B,16,-バリアチェンジ-,-Barrier Change-
08605.pak1,0x373,16,-バリアチェンジ-,-Barrier Change-
08605.pak1,0x39B,16,-バリアチェンジ-,-Barrier Change-
08605.pak1,0x3C3,16,-バリアチェンジ-,-Barrier Change-
08605.pak1,0x3EB,16,-バリアチェンジ-,-Barrier Change-
08605.pak1,0x413,16,-バリアチェンジ-,-Barrier Change-
08605.pak1,0x437,12,-カルドロン-,-Cauldron-
08605.pak1,0x457,14,-リアファイル-,-Rear File-
08605.pak1,0x481,18,カウンタ・マジック,Counter Magic
08606.pak1,0x2F7,12,フルフラット,Full Flat
08607.pak1,0x2F7,12,フルフラット,Full Flat
08608.pak1,0x2F7,12,フルフラット,Full Flat
08609.pak1,0x3C0,4,止水,Calm
08609.pak1,0x3D7,4,流水,Flow
08613.pak1,0x42A,18,ストームブリンガー,Stormbringer
08614.pak1,0x42A,18,ストームブリンガー,Stormbringer
08615.pak1,0x42A,18,ストームブリンガー,Stormbringer
08616.pak1,0x42A,18,ストームブリンガー,Stormbringer
08634.pak1,0x22F,18,-ロスト・セラフィ-,-Lost Seraph-
08635.pak1,0x22F,18,-ロスト・セラフィ-,-Lost Seraph-
08636.pak1,0x22F,18,-ロスト・セラフィ-,-Lost Seraph-
08637.pak1,0x22F,18,-ロスト・セラフィ-,-Lost Seraph-
08640.pak1,0x32B,16,-ルーン・ウルズ-,-Rune Uruz-
08640.pak1,0x350,18,-ルーン・アルギズ-,-Rune Algiz-
08641.pak1,0x594,14,ギガスクリーム,Giga Scream
08642.pak1,0x292,16,-デスジャケット-,-Death Jacket-
08643.pak1,0x22F,18,-ロスト・セラフィ-,-Lost Seraph-
08646.pak1,0x555,12,ニブルヘイム,Niflheim
08668.pak1,0x541,12,ニブルヘイム,Niflheim
08685.pak1,0x22F,18,-ラスティ・ネイル-,-Rusty Nail-
08686.pak1,0x555,12,ニブルヘイム,Niflheim
08690.pak1,0x23E,8,ピコハン,Pikohan
08698.pak1,0x541,12,ニブルヘイム,Niflheim
08705.pak1,0x23E,8,ピコハン,Pikohan
08709.pak1,0x42A,18,ストームブリンガー,Stormbringer
08710.pak1,0x594,14,ギガスクリーム,Giga Scream
08727.pak1,0x4FD,14,ビーストロアー,Beast Roar
08727.pak1,0x525,16,ドラゴンキャノン,Dragon Cannon
08727.pak1,0x56E,14,スネークバイト,Snake Bite
08727.pak1,0x5DA,18,スピリッツリバース,Spirits Reverse
08727.pak1,0x614,22,「情けをかけてやろう」,I shall show mercy.
08727.pak1,0x642,22,「貴様の＜時＞を頂く」,Your time is mine.
08727.pak1,0x667,30,「苦しむヒマを与えぬも慈悲か」,No time to suffer. A mercy.
08727.pak1,0x69D,22,エンチャント・ダメージ,Enchant Damage
08727.pak1,0x6FD,36,「リザレクション・・？退屈な奴らだ」,Resurrection...? How tiresome.
08727.pak1,0x77E,22,私の背後に立つな・・・,Never stand behind me.
